PM2.5,NO,NH3,CO,SO2,O3,Benzene,AQI,AQI_Bucket
25.54,9.5,5.56,9.5,15.28,16.47,1.1,222.0,Poor
38.47,10.63,5.7,10.63,17.44,17.34,1.28,216.0,Poor
42.55,10.36,6.59,10.36,17.85,20.24,1.28,236.0,Poor
38.1,10.2,7.04,10.2,18.46,16.83,1.6,225.0,Poor
27.22,12.02,6.34,12.02,17.38,12.94,1.25,231.0,Poor
41.81,10.75,9.77,10.75,18.03,22.44,1.4,298.0,Poor
75.03,11.23,9.47,11.23,17.61,41.28,1.76,267.0,Poor
75.06,14.78,6.35,14.78,19.31,6.0,4.41,301.0,Very Poor
85.36,14.48,7.59,14.48,7.63,20.62,3.14,311.0,Very Poor
124.97,13.2,9.72,13.2,6.74,26.4,2.99,313.0,Very Poor
86.63,11.74,6.39,11.74,9.97,20.38,0.36,267.0,Poor
70.34,11.25,7.1,11.25,12.49,20.13,0.0,232.0,Poor
50.49,10.91,5.04,10.91,13.29,22.39,0.0,229.0,Poor
42.25,11.07,6.55,11.07,9.61,24.3,0.0,227.0,Poor
48.23,11.09,9.01,11.09,18.51,18.52,0.01,236.0,Poor
138.94,10.27,16.9,10.27,66.98,37.01,0.0,326.0,Very Poor
155.68,16.66,19.69,16.66,61.24,33.7,0.0,395.0,Very Poor
120.35,20.67,16.95,20.67,49.8,29.53,0.0,507.0,Severe
140.81,18.56,19.3,18.56,15.83,31.21,0.0,423.0,Severe
87.09,10.15,13.98,10.15,18.17,29.43,3.79,315.0,Very Poor
83.57,7.8,10.61,7.8,19.72,30.68,3.77,213.0,Poor
75.41,12.23,11.07,12.23,26.31,37.64,4.07,263.0,Poor
106.86,9.38,10.22,9.38,30.72,36.65,3.81,355.0,Very Poor
96.53,9.03,10.8,9.03,26.45,33.14,4.92,362.0,Very Poor
76.96,6.95,9.04,6.95,28.44,41.7,2.06,236.0,Poor
73.05,7.04,8.37,7.04,40.0,40.57,2.35,192.0,Moderate
72.52,7.31,9.14,7.31,28.08,32.65,1.76,230.0,Poor
109.22,11.05,13.21,11.05,60.04,33.06,3.87,278.0,Poor
122.63,18.84,16.36,18.84,24.52,31.59,4.44,390.0,Very Poor
214.36,19.66,18.38,19.66,46.6,33.34,6.05,509.0,Severe
381.69,29.49,25.41,29.49,49.33,15.74,13.1,472.0,Severe
182.59,26.06,18.2,26.06,23.81,41.0,8.18,457.0,Severe
271.85,16.39,15.28,16.39,33.31,41.24,3.52,721.0,Severe
230.76,12.95,13.35,12.95,19.34,50.18,2.21,420.0,Severe
203.3,11.74,14.79,11.74,16.14,47.43,2.23,417.0,Severe
152.03,10.97,12.7,10.97,16.78,56.43,1.56,390.0,Very Poor
176.02,7.51,12.78,7.51,66.19,35.0,0.79,361.0,Very Poor
79.49,175.81,28.34,175.81,62.62,18.21,11.23,459.0,Severe
112.25,104.94,36.61,104.94,43.78,23.6,21.01,1426.0,Severe
133.07,70.84,51.06,70.84,61.91,32.46,22.32,1348.0,Severe
93.96,71.28,46.94,71.28,47.05,6.36,13.78,1073.0,Severe
